"﻿""Handle""","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item"
"cla","CLA - Acide Linoléique Conjugué","<p>Le <strong>MB Nutrition CLA</strong> contient de l'acide linoléique conjugué (Oméga 6) issu d'huile de carthame de haute qualité. Présenté en softgels faciles à avaler, il s'intègre parfaitement dans votre routine quotidienne.</p><ul><li>✓ Source d'Oméga 6 de haute qualité</li><li>✓ Softgels faciles à avaler</li><li>✓ Idéal pour une utilisation quotidienne</li></ul>","MB Nutrition","CLA","","2026-04-09T09:44:16+02:00","Title","Default Title","","","","","8720254855011","0","","","deny","manual","17.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/CLA-MB-Nutrition.jpg?v=1748159784","1","","","","","",""
"cla","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/CLA-MB-Nutrition-ingredienten.jpg?v=1748159784","2","","","","","",""
"cla","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/cla_87a94a92-9f0e-413c-88b0-f0e09621683d.jpg?v=1748159784","3","","","","","",""
"creatine-monohydrate","Créatine Monohydrate","<p>La <strong>créatine monohydrate 100% pure</strong> de MB Nutrition – le complément de référence pour améliorer vos performances et favoriser la récupération musculaire.</p><ul><li>✓ Créatine monohydrate 100% pure</li><li>✓ Idéale pour les efforts courts et intenses</li><li>✓ Améliore la force et la puissance</li><li>✓ Facile à utiliser – inclut les conseils d'utilisation</li></ul>","MB Nutrition","creatine","","2024-09-09T14:18:20+02:00","Title","Default Title","","","","","8720254855035","500","","","deny","manual","21.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/creatine-1.jpg?v=1748162398","1","","","","","",""
"creatine-monohydrate","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/creatine-2.jpg?v=1748162398","2","","","","","",""
"creatine-monohydrate","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/creatine-3.jpg?v=1748162398","3","","","","","",""
"creatine-monohydrate","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/creatine-4.jpg?v=1748162398","4","","","","","",""
"diet-shakes","Diet Shakes 450g","<p>Découvrez les <strong>MB Nutrition Diet Shakes</strong> – substituts de repas savoureux et pratiques dans le cadre d'un régime hypocalorique. Rapides à préparer, facilement solubles et disponibles en plusieurs saveurs irrésistibles.</p><ul><li>✓ Substitut de repas complet</li><li>✓ Faible en calories</li><li>✓ Prêt en 30 secondes</li><li>✓ Disponible en 3 saveurs</li></ul>","MB Nutrition","diet","","2026-04-09T09:24:05+02:00","Flavor","Vanilla Ice","","","","","8720254855042","900","","","deny","manual","19.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/listing-mb-dietshakeTekengebied1.jpg?v=1750095608","1","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied1_2901dc03-73e0-486e-8032-f0c56ecf5754.jpg?v=1750095615","","",""
"diet-shakes","","","","","","","Flavor","Strawberry Cream","","","","","8720254855073","0","","","deny","manual","19.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/listing-mb-dietshakeTekengebied2.jpg?v=1750095607","2","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/productlisting-mb-dietshakeTekengebied1_0c998ddd-2150-406a-93f0-8fab3be213aa.jpg?v=1750095612","","",""
"diet-shakes","","","","","","","Flavor","Salted Caramel","","","","","8720254855431","0","","","deny","manual","19.95","","","true","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/listing-mb-dietshakeTekengebied3.jpg?v=1750095608","3","","","https://cdn.shopify.com/s/files/1/0830/5878/6645/files/listing-mb-dietshakeTekengebied1.jpg?v=1750095608","","",""
